subject,trial,visual_size,visual_brightness,audio_pitch,audio_location,button,RT,LeftAnsMark
000,943,0,0,1,1,1,403,left
000,944,0,0,1,3,1,432,left
000,945,2,1,1,2,1,539,left
000,946,1,2,1,2,1,408,left
000,947,2,1,2,5,2,358,right
000,948,2,2,2,5,2,380,right
000,949,2,1,1,3,2,375,right
000,950,1,1,1,2,2,336,right
000,951,0,0,1,5,2,445,right
000,952,2,2,1,3,2,328,right
000,953,1,1,1,1,1,363,left
000,954,2,1,1,4,2,403,right
000,955,1,1,1,5,2,383,right
000,956,1,2,1,1,1,474,left
000,957,1,2,2,3,1,612,left
000,958,2,2,2,3,1,434,left
000,959,2,2,1,2,1,477,left
000,960,2,1,1,3,1,480,left
000,961,2,2,2,1,2,562,right
000,962,2,1,2,1,1,295,left
000,963,2,1,2,4,2,315,right
000,964,1,2,1,4,2,979,right
000,965,0,0,1,3,1,672,left
000,966,2,2,2,2,1,591,left
000,967,0,0,2,3,1,376,left
000,968,1,2,1,3,1,563,left
000,969,0,0,1,4,1,627,left
000,970,1,1,1,4,1,470,left
000,971,2,2,1,3,1,434,left
000,972,0,0,1,1,1,416,left
000,973,1,2,2,4,2,395,right
000,974,2,1,1,4,1,524,left
000,975,2,2,1,5,2,456,right
000,976,1,1,2,2,1,527,left
000,977,1,2,2,5,2,396,right
000,978,1,1,2,1,1,396,left
000,979,2,2,2,1,1,348,left
000,980,2,2,2,4,2,437,right
000,981,1,1,1,1,1,357,left
000,982,2,1,1,1,1,448,left
000,983,2,2,2,3,1,527,left
000,984,2,2,1,4,2,357,right
000,985,2,1,1,5,2,368,right
000,986,2,2,1,3,2,412,right
000,987,2,2,1,5,2,391,right
000,988,0,0,2,2,1,334,left
000,989,2,1,2,1,1,343,left
000,990,0,0,1,2,1,393,left
000,991,2,1,1,3,1,390,left
000,992,0,0,2,1,1,411,left
000,993,1,2,1,5,2,396,right
000,994,2,2,1,5,2,337,right
000,995,1,2,1,4,1,486,left
000,996,1,2,1,5,2,394,right
000,997,1,2,2,5,2,398,right
000,998,1,2,2,2,1,375,left
000,999,0,0,2,2,1,347,left
000,1000,1,2,1,5,2,331,right
000,1001,2,1,1,2,1,342,left
000,1002,2,1,2,2,1,380,left
000,1003,1,2,1,1,1,424,left
000,1004,0,0,2,5,2,340,right
000,1005,0,0,1,1,1,462,left
000,1006,2,2,2,3,1,424,left
000,1007,2,2,2,2,1,541,left
000,1008,1,1,1,2,2,482,right
000,1009,1,1,2,4,1,390,left
000,1010,0,0,1,2,2,726,right
000,1011,2,1,2,3,2,870,right
000,1012,2,2,1,1,2,502,right
000,1013,1,1,1,3,2,404,right
000,1014,1,1,1,5,2,437,right
000,1015,1,2,2,1,1,338,left
000,1016,1,1,2,5,2,383,right
000,1017,1,1,2,1,1,380,left
000,1018,2,2,1,2,2,438,right
000,1019,1,1,2,4,1,437,left
000,1020,1,1,1,3,2,432,right
000,1021,2,2,2,2,1,508,left
000,1022,1,2,2,1,1,405,left
000,1023,1,1,2,5,2,326,right
000,1024,2,2,2,4,1,369,left
000,1025,0,0,2,1,1,302,left
000,1026,1,1,1,1,1,381,left
000,1027,1,2,1,3,1,351,left
000,1028,1,2,1,2,1,351,left
000,1029,1,1,2,3,1,432,left
000,1030,0,0,2,5,2,325,right
000,1031,2,1,1,2,1,545,left
000,1032,1,2,2,2,2,551,right
000,1033,2,1,1,1,1,462,left
000,1034,1,2,2,5,2,463,right
000,1035,0,0,1,5,1,485,left
000,1036,0,0,2,1,1,481,left
000,1037,2,1,1,5,2,335,right
000,1038,1,1,1,5,2,322,right
000,1039,0,0,1,4,2,323,right
000,1040,2,1,1,5,2,341,right
000,1041,2,1,1,4,2,434,right
000,1042,2,2,1,2,1,427,left
000,1043,2,1,2,4,2,379,right
000,1044,1,2,2,3,2,408,right
000,1045,0,0,1,4,1,341,left
000,1046,1,2,2,3,2,377,right
000,1047,1,1,2,3,2,412,right
000,1048,1,2,1,1,1,323,left
000,1049,2,2,1,1,1,396,left
000,1050,0,0,2,3,2,465,right
000,1051,2,2,1,2,1,480,left
000,1052,0,0,1,2,1,370,left
000,1053,0,0,2,4,2,428,right
000,1054,2,1,1,2,1,351,left
000,1055,2,1,2,1,1,404,left
000,1056,2,1,1,3,1,410,left
000,1057,2,2,1,1,1,369,left
000,1058,1,1,2,4,2,408,right
000,1059,2,1,1,1,1,455,left
000,1060,1,2,1,4,2,364,right
000,1061,2,2,2,1,1,380,left
000,1062,0,0,1,5,2,326,right
000,1063,2,2,2,1,1,335,left
000,1064,0,0,2,1,1,380,left
000,1065,0,0,2,3,2,432,right
000,1066,2,2,2,4,2,419,right
000,1067,1,2,1,2,1,358,left
000,1068,2,1,1,4,2,375,right
000,1069,1,1,2,2,1,354,left
000,1070,2,1,2,4,1,545,left
000,1071,0,0,2,4,2,382,right
000,1072,0,0,1,1,1,394,left
000,1073,2,2,1,3,1,400,left
000,1074,0,0,2,3,2,376,right
000,1075,0,0,1,5,2,353,right
000,1076,2,1,2,4,1,392,left
000,1077,2,2,2,4,1,382,left
000,1078,1,1,1,5,2,393,right
000,1079,0,0,1,4,2,407,right
000,1080,2,2,1,2,2,392,right
000,1081,0,0,1,4,2,398,right
000,1082,1,2,2,1,1,452,left
000,1083,2,2,1,4,1,377,left
000,1084,2,1,2,5,2,355,right
000,1085,1,1,2,4,2,378,right
000,1086,2,1,1,2,1,375,left
000,1087,0,0,2,5,2,353,right
000,1088,0,0,1,2,1,482,left
000,1089,0,0,1,2,2,389,right
000,1090,2,2,2,3,2,540,right
000,1091,2,1,1,5,2,591,right
000,1092,1,1,1,4,1,434,left
000,1093,2,2,2,4,2,431,right
000,1094,2,1,2,2,1,353,left
